# data from file /Users/tpaneque/Library/CloudStorage/Dropbox/Documents_MAC_ESO/MAPS/hd163296/HD_163296_CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 5800.0 
# Xmax: 800 
# Zmax: 300
# r[au] h[au] temp[K] std_temp[K]
5.600000000000000000e+01 3.000000000000000000e+00 4.905182647705078125e+01 0.000000000000000000e+00
5.600000000000000000e+01 4.000000000000000000e+00 4.971810531616210938e+01 0.000000000000000000e+00
5.600000000000000000e+01 6.000000000000000000e+00 4.839850616455078125e+01 0.000000000000000000e+00
5.600000000000000000e+01 9.000000000000000000e+00 5.121391296386718750e+01 0.000000000000000000e+00
5.600000000000000000e+01 1.200000000000000000e+01 5.172286224365234375e+01 1.009660084695612525e+00
5.600000000000000000e+01 1.400000000000000000e+01 4.900533294677734375e+01 0.000000000000000000e+00
5.700000000000000000e+01 3.000000000000000000e+00 4.906672668457031250e+01 0.000000000000000000e+00
5.700000000000000000e+01 4.000000000000000000e+00 4.868785858154296875e+01 1.719730377197265625e+00
5.700000000000000000e+01 5.000000000000000000e+00 4.847993977864583570e+01 8.423603033572346632e-01
5.700000000000000000e+01 1.200000000000000000e+01 5.530514399210611742e+01 2.229890106082652590e+00
5.700000000000000000e+01 1.300000000000000000e+01 5.289569377899169922e+01 1.493551319544048406e+00
5.700000000000000000e+01 1.400000000000000000e+01 5.188132095336914062e+01 0.000000000000000000e+00
5.700000000000000000e+01 1.600000000000000000e+01 4.939945983886718750e+01 0.000000000000000000e+00
5.800000000000000000e+01 4.000000000000000000e+00 4.985688908894857008e+01 4.879932516478375226e-01
5.800000000000000000e+01 6.000000000000000000e+00 4.893646392822265767e+01 1.997417376060230287e+00
5.800000000000000000e+01 7.000000000000000000e+00 5.538337707519531250e+01 0.000000000000000000e+00
5.800000000000000000e+01 1.200000000000000000e+01 4.968412704467773722e+01 1.245444080161571154e+00
5.800000000000000000e+01 1.400000000000000000e+01 5.388133621215820312e+01 0.000000000000000000e+00
5.900000000000000000e+01 5.000000000000000000e+00 4.946547698974609375e+01 0.000000000000000000e+00
5.900000000000000000e+01 6.000000000000000000e+00 4.766698837280273438e+01 0.000000000000000000e+00
5.900000000000000000e+01 9.000000000000000000e+00 4.663217544555664062e+01 0.000000000000000000e+00
5.900000000000000000e+01 1.100000000000000000e+01 5.029768371582031250e+01 0.000000000000000000e+00
5.900000000000000000e+01 1.400000000000000000e+01 5.357769012451171875e+01 1.998356034600440978e+00
6.000000000000000000e+01 3.000000000000000000e+00 4.751376342773437500e+01 0.000000000000000000e+00
6.000000000000000000e+01 4.000000000000000000e+00 4.953462219238281250e+01 0.000000000000000000e+00
6.000000000000000000e+01 5.000000000000000000e+00 4.917407226562500000e+01 0.000000000000000000e+00
6.000000000000000000e+01 6.000000000000000000e+00 4.872735595703125000e+01 8.753951909326193048e-01
6.000000000000000000e+01 1.300000000000000000e+01 5.454547119140625000e+01 0.000000000000000000e+00
6.000000000000000000e+01 1.400000000000000000e+01 5.400554402669271070e+01 3.100190452296375465e+00
6.000000000000000000e+01 1.600000000000000000e+01 5.020600891113281250e+01 0.000000000000000000e+00
6.100000000000000000e+01 6.000000000000000000e+00 5.064186859130859375e+01 0.000000000000000000e+00
6.100000000000000000e+01 7.000000000000000000e+00 5.445113754272460938e+01 0.000000000000000000e+00
6.100000000000000000e+01 8.000000000000000000e+00 5.058221054077148438e+01 2.261161804199218750e+00
6.100000000000000000e+01 1.100000000000000000e+01 4.700735473632812500e+01 0.000000000000000000e+00
6.100000000000000000e+01 1.200000000000000000e+01 5.063724517822265625e+01 6.612319946289062500e-01
6.100000000000000000e+01 1.300000000000000000e+01 5.062752532958984375e+01 0.000000000000000000e+00
6.100000000000000000e+01 1.400000000000000000e+01 4.919653320312500000e+01 0.000000000000000000e+00
6.100000000000000000e+01 1.500000000000000000e+01 5.435315704345703125e+01 0.000000000000000000e+00
6.100000000000000000e+01 1.600000000000000000e+01 5.322036743164062500e+01 0.000000000000000000e+00
6.200000000000000000e+01 6.000000000000000000e+00 4.760064697265625000e+01 0.000000000000000000e+00
6.200000000000000000e+01 7.000000000000000000e+00 4.863772010803222656e+01 1.775663375854492188e+00
6.200000000000000000e+01 8.000000000000000000e+00 4.959014511108398438e+01 9.051895141601562500e-02
6.200000000000000000e+01 9.000000000000000000e+00 5.339374542236328125e+01 0.000000000000000000e+00
6.200000000000000000e+01 1.400000000000000000e+01 5.096288299560546875e+01 0.000000000000000000e+00
6.200000000000000000e+01 1.500000000000000000e+01 5.353019905090332031e+01 2.218995950892378666e+00
6.200000000000000000e+01 1.600000000000000000e+01 5.242483520507812500e+01 0.000000000000000000e+00
6.300000000000000000e+01 6.000000000000000000e+00 4.656711578369140625e+01 8.731002807617187500e-01
6.300000000000000000e+01 9.000000000000000000e+00 4.979128074645996094e+01 2.417436922181428471e+00
6.300000000000000000e+01 1.000000000000000000e+01 4.841254425048828125e+01 0.000000000000000000e+00
6.300000000000000000e+01 1.200000000000000000e+01 4.540032196044921875e+01 0.000000000000000000e+00
6.300000000000000000e+01 1.600000000000000000e+01 5.061931991577148438e+01 3.079872131347656250e-01
6.300000000000000000e+01 1.700000000000000000e+01 5.549173736572265625e+01 0.000000000000000000e+00
6.300000000000000000e+01 2.000000000000000000e+01 5.559624481201171875e+01 0.000000000000000000e+00
6.400000000000000000e+01 5.000000000000000000e+00 4.828784942626953125e+01 0.000000000000000000e+00
6.400000000000000000e+01 6.000000000000000000e+00 4.885202789306640625e+01 0.000000000000000000e+00
6.400000000000000000e+01 8.000000000000000000e+00 5.100411224365234375e+01 0.000000000000000000e+00
6.400000000000000000e+01 9.000000000000000000e+00 5.088642628987630445e+01 1.433041259473305296e+00
6.400000000000000000e+01 1.100000000000000000e+01 4.795840454101562500e+01 0.000000000000000000e+00
6.400000000000000000e+01 1.200000000000000000e+01 5.008360290527343750e+01 0.000000000000000000e+00
6.400000000000000000e+01 1.300000000000000000e+01 5.106409835815429688e+01 0.000000000000000000e+00
6.400000000000000000e+01 1.500000000000000000e+01 4.545463562011718750e+01 0.000000000000000000e+00
6.400000000000000000e+01 1.600000000000000000e+01 5.459180831909179688e+01 1.365024566650390625e+00
6.400000000000000000e+01 1.700000000000000000e+01 5.217593383789062500e+01 0.000000000000000000e+00
6.500000000000000000e+01 0.000000000000000000e+00 4.237789916992187500e+01 0.000000000000000000e+00
